Aggregated Date/Time,Variable,Depth,Site Name,Latitude,Longitude,mean,median,p5,p95,lowest,highest
2011-01-07T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.006087077,0.006087077,0.006087077,0.006087077,0.006087077,0.006087077
2011-01-08T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.005847448,0.005847448,0.005847448,0.005847448,0.005847448,0.005847448
2011-01-09T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.005628397,0.005628397,0.005628397,0.005628397,0.005628397,0.005628397
2011-01-10T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.005433127,0.005433127,0.005433127,0.005433127,0.005433127,0.005433127
2011-01-11T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.005256458,0.005256458,0.005256458,0.005256458,0.005256458,0.005256458
2011-01-12T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.005093624,0.005093624,0.005093624,0.005093624,0.005093624,0.005093624
2011-01-13T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004944259,0.004944259,0.004944259,0.004944259,0.004944259,0.004944259
2011-01-14T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004808439,0.004808439,0.004808439,0.004808439,0.004808439,0.004808439
2011-01-15T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004684421,0.004684421,0.004684421,0.004684421,0.004684421,0.004684421
2011-01-16T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004571061,0.004571061,0.004571061,0.004571061,0.004571061,0.004571061
2011-01-17T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004469879,0.004469879,0.004469879,0.004469879,0.004469879,0.004469879
2011-01-18T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004379412,0.004379412,0.004379412,0.004379412,0.004379412,0.004379412
2011-01-19T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004298666,0.004298666,0.004298666,0.004298666,0.004298666,0.004298666
2011-01-20T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004225665,0.004225665,0.004225665,0.004225665,0.004225665,0.004225665
2011-01-21T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004192369,0.004192369,0.004192369,0.004192369,0.004192369,0.004192369
2011-01-22T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004120954,0.004120954,0.004120954,0.004120954,0.004120954,0.004120954
2011-01-23T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.00405973,0.00405973,0.00405973,0.00405973,0.00405973,0.00405973
2011-01-24T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.004006102,0.004006102,0.004006102,0.004006102,0.004006102,0.004006102
2011-01-25T00:00,SGH_N,99999.9,Absent,-19.428066,147.488939,0.003956273,0.003956273,0.003956273,0.003956273,0.003956273,0.003956273
